"Отметка времени","Чи знаєте Ви про інсування здорових снеків/батончиків?","Як Ви їх сприймаєте?","Які з перелічених брендів Ви купуєте?","Ви вважаєте ціну на здорові снеки зависокою?","Де Ви найчастіше купуєте снеки?","Чи слідкуєте Ви за своїм харчуванням?","Чи займаєтесь Ви спортом?","Чи вистачає Вам часу для повноцінного харчування?","Ваша стать","Ваш вік ","У якому населеному пункті Ви проживаєте?","Ваш місячний рівень доходу"
"2019/10/30 8:51:56 PM GMT+2","Так","Як перекус","Fitness;Cini Minis;Lantmännen АХА;Bakalland BA!","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Жіноча","14-21 рік","Киев ","<4 тис.грн."
"2019/10/30 8:51:56 PM GMT+2","Так","Як перекус","Fitness;Granola Energy;Tekmar;EatMe;Fitto","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Кав`ярні","Так","Ні","Ні","Жіноча","22-35 рік","Киев ","10-20 тис.грн."
"2019/10/30 8:52:22 PM GMT+2","Так","Як джерело корисних елементів","Fitness;Lantmännen АХА","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Жіноча","22-35 рік","Киев","10-20 тис.грн."
"2019/10/30 8:52:27 PM GMT+2","Так","Як перекус","EatMe","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Ні","Чоловіча","36-45 рік","Киев",">30 тис.грн."
"2019/10/30 8:52:46 PM GMT+2","Так","Як перекус","Bakalland BA!","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Чоловіча","14-21 рік","",""
"2019/10/30 8:52:58 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;EatMe","Ні","Мінімаркет (Фора, АТБ)","Так","Так","Так","Жіноча","36-45 рік","Киев","10-20 тис.грн."
"2019/10/30 8:52:59 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Скоріше так","Мінімаркет (Фора, АТБ);Заправки;Кав`ярні","Так","Ні","Ні","Жіноча","36-45 рік","Киев","10-20 тис.грн."
"2019/10/30 8:54:18 PM GMT+2","Так","Як джерело корисних елементів","Fitness;Lantmännen АХА;Батончики Гранола","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Спеціалізовані магазини (Еко-лавка)","Так","Ні","Ні","Жіноча","36-45 рік","Kyiv","10-20 тис.грн."
"2019/10/30 8:54:33 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Жіноча","22-35 рік","Київ","10-20 тис.грн."
"2019/10/30 8:55:05 PM GMT+2","Ні","","","","","","","","Жіноча","55+","Житомир","7-10 тис.грн."
"2019/10/30 8:55:58 PM GMT+2","Так","Як джерело корисних елементів","Bakalland BA!","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Bidronka ","Так","Так","Так","Жіноча","14-21 рік","Житомир","4-6 тис.грн."
"2019/10/30 8:57:16 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Батончики Гранола","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Ні","Жіноча","14-21 рік","","7-10 тис.грн."
"2019/10/30 8:57:30 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Tekmar","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Так","Чоловіча","14-21 рік","Kyiv","<4 тис.грн."
"2019/10/30 8:58:01 PM GMT+2","Ні","","","","","","","","Чоловіча","22-35 рік","Місті","10-20 тис.грн."
"2019/10/30 8:58:09 PM GMT+2","Так","Як перекус","Fitness","Не знаю","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Кіоск","Ні","","Так","Чоловіча","14-21 рік","Киев ","7-10 тис.грн."
"2019/10/30 8:58:54 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Tekmar","Не знаю","Мінімаркет (Фора, АТБ)","Так","Так","Так","Жіноча","14-21 рік","Чернігів","<4 тис.грн."
"2019/10/30 9:00:09 PM GMT+2","Ні","","","","","","","","Інша","55+","Хуй","<4 тис.грн."
"2019/10/30 9:01:10 PM GMT+2","Так","Як солодощі/альтернатива солодощам","EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Так","Жіноча","14-21 рік","Житомир ",""
"2019/10/30 9:02:03 PM GMT+2","Так","Як солодощі/альтернатива солодощам","EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Жіноча","22-35 рік","Киев","10-20 тис.грн."
"2019/10/30 9:02:58 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;Bakalland BA!;EatMe","Так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Ні","Чоловіча","22-35 рік","Київ","10-20 тис.грн."
"2019/10/30 9:03:10 PM GMT+2","Так","Як солодощі/альтернатива солодощам","EatMe","Ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Спеціалізовані магазини (Еко-лавка)","Ні","Так","Так","Чоловіча","22-35 рік","Київ",">30 тис.грн."
"2019/10/30 9:03:20 PM GMT+2","Так","Як солодощі/альтернатива солодощам","EatMe","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Так","Жіноча","22-35 рік","Київ","20-30 тис.грн"
"2019/10/30 9:04:01 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Не знаю","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Чоловіча","46-55 рік","Київ","<4 тис.грн."
"2019/10/30 9:04:45 PM GMT+2","Так","Як солодощі/альтернатива солодощам;Як джерело корисних елементів","Fitness;EatMe","Ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Спеціалізовані магазини (Еко-лавка)","Так","Так","Ні","Жіноча","14-21 рік","","<4 тис.грн."
"2019/10/30 9:06:36 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","",">30 тис.грн."
"2019/10/30 9:08:03 PM GMT+2","Так","Як перекус","Жодний з перелічених","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Так","Чоловіча","14-21 рік","Чернігів","<4 тис.грн."
"2019/10/30 9:08:28 PM GMT+2","Ні","","","","","","","","Жіноча","36-45 рік","Киев ",">30 тис.грн."
"2019/10/30 9:09:12 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Bakalland BA!","Ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Ні","Жіноча","14-21 рік","Київ ","7-10 тис.грн."
"2019/10/30 9:09:16 PM GMT+2","Так","Як перекус","Fitness;EatMe","Так","","Ні","Так","Ні","Жіноча","14-21 рік","Житомир","4-6 тис.грн."
"2019/10/30 9:09:46 PM GMT+2","Так","Як перекус","Granola Energy","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Ні","Жіноча","22-35 рік","Киев","10-20 тис.грн."
"2019/10/30 9:11:29 PM GMT+2","Так","Як перекус;Як джерело корисних елементів","Fitness;Fitto","Так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Чоловіча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/30 9:12:27 PM GMT+2","Ні","","","","","","","","Жіноча","55+","Zitomyr","4-6 тис.грн."
"2019/10/30 9:12:45 PM GMT+2","Так","Як перекус","Fitness","Скоріше так","Кав`ярні","Ні","Ні","Так","Чоловіча","46-55 рік","Шепетiвка","7-10 тис.грн."
"2019/10/30 9:12:50 PM GMT+2","Ні","","","","","","","","Жіноча","55+","Zitomyr","4-6 тис.грн."
"2019/10/30 9:13:22 PM GMT+2","Так","Як солодощі/альтернатива солодощам;Як джерело корисних елементів","Fitness;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","14-21 рік","Киев","4-6 тис.грн."
"2019/10/30 9:13:23 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Не знаю","Супермаркет (Сільпо, Білла, Варус);Кіоск","Ні","Ні","Так","Чоловіча","22-35 рік","Киев","10-20 тис.грн."
"2019/10/30 9:13:36 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам;Як джерело корисних елементів","Tekmar;Bakalland BA!;EatMe","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Мінімаркет (Фора, АТБ)","Так","Ні","Ні","Жіноча","14-21 рік","Киев",">30 тис.грн."
"2019/10/30 9:13:51 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Кыйив","<4 тис.грн."
"2019/10/30 9:14:09 PM GMT+2","Так","Як перекус;Як джерело корисних елементів","EatMe;Батончики Гранола","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Так","Жіноча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 9:14:45 PM GMT+2","Так","Як перекус","Bakalland BA!","Ні","Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Так","Чоловіча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 9:14:48 PM GMT+2","Так","Як перекус","Bakalland BA!","Ні","Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Так","Чоловіча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 9:15:12 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Bakalland BA!;EatMe;Батончики Гранола","Так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Так","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:15:36 PM GMT+2","Так","Як джерело корисних елементів","Fitto","Не знаю","Мінімаркет (Фора, АТБ)","Так","Ні","Ні","Жіноча","36-45 рік","Хмельницька обл.","<4 тис.грн."
"2019/10/30 9:16:00 PM GMT+2","Так","Як перекус","Fitness;Tekmar","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Заправки","Так","Ні","Так","Жіноча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 9:16:16 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;Tekmar;Fitto","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);аптеки","Так","Так","Так","Жіноча","36-45 рік","Киев",">30 тис.грн."
"2019/10/30 9:16:26 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 9:16:38 PM GMT+2","Ні","","","","","","","","Чоловіча","22-35 рік","Украина",">30 тис.грн."
"2019/10/30 9:17:16 PM GMT+2","Так","Як перекус","Fitness;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Ні","Чоловіча","22-35 рік","Київ","10-20 тис.грн."
"2019/10/30 9:17:49 PM GMT+2","Ні","","","","","","","","Жіноча","55+","Zytomyr","4-6 тис.грн."
"2019/10/30 9:18:05 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі)","Ні","Так","Ні","Чоловіча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 9:19:18 PM GMT+2","Так","Як перекус","Жодний з перелічених","Не знаю","Заправки","Так","Так","Ні","Жіноча","22-35 рік","Киев ","20-30 тис.грн"
"2019/10/30 9:19:52 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","kyiv","7-10 тис.грн."
"2019/10/30 9:20:59 PM GMT+2","Ні","","","","","","","","","36-45 рік","Киев","10-20 тис.грн."
"2019/10/30 9:21:56 PM GMT+2","Так","Як перекус","Fitness;EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Чоловіча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/30 9:22:05 PM GMT+2","Ні","","","","","","","","Жіноча","36-45 рік","Київ","10-20 тис.грн."
"2019/10/30 9:22:41 PM GMT+2","Так","Флекса","Жодний з перелічених","Не знаю","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Ні","Інша","55+","Уганда ",">30 тис.грн."
"2019/10/30 9:24:55 PM GMT+2","Так","Як перекус","Fitness","Скоріше ні","Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:25:04 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;Tekmar;EatMe","Не знаю","Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","14-21 рік","Киев","4-6 тис.грн."
"2019/10/30 9:25:26 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Lantmännen АХА;Tekmar;EatMe;Батончики Гранола","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Спеціалізовані магазини (Еко-лавка);Кав`ярні","Так","Так","Ні","Жіноча","14-21 рік","Киев","7-10 тис.грн."
"2019/10/30 9:25:33 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Так","Спеціалізовані магазини (Еко-лавка)","Так","Так","Так","Жіноча","22-35 рік","Київ","10-20 тис.грн."
"2019/10/30 9:25:47 PM GMT+2","Так","Як перекус;Як джерело корисних елементів","Fitness;Cini Minis;Lantmännen АХА","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Заправки","Так","Так","Так","Чоловіча","22-35 рік","Київ","10-20 тис.грн."
"2019/10/30 9:26:53 PM GMT+2","Так","Як перекус","Fitness;Granola Energy;Bakalland BA!","Ні","Спеціалізовані магазини (Еко-лавка)","Так","Так","Так","Жіноча","22-35 рік","Київ ","7-10 тис.грн."
"2019/10/30 9:27:13 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Fitto","Ні","Мінімаркет (Фора, АТБ)","Так","Так","Ні","Жіноча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 9:27:36 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Bakalland BA!;EatMe","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Ні","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:28:17 PM GMT+2","Так","Як перекус","Fitness;EatMe","Не знаю","Мінімаркет (Фора, АТБ)","Так","Ні","Так","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:29:37 PM GMT+2","Так","Як перекус","Fitness;Fitto;Батончики Гранола","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Так","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:29:44 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Cini Minis","Скоріше так","Мінімаркет (Фора, АТБ)","Так","Так","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:29:50 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус, Гудвайн)","Так","Так","Ні","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:29:54 PM GMT+2","Так","Як перекус","Fitness;Cini Minis;EatMe;Fitto","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі)","Так","Так","Так","Чоловіча","14-21 рік","Киев","7-10 тис.грн."
"2019/10/30 9:30:03 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness","Ні","Мінімаркет (Фора, АТБ)","Так","Ні","Ні","Жіноча","36-45 рік","Чернігів","7-10 тис.грн."
"2019/10/30 9:31:17 PM GMT+2","Так","Як перекус","Fitness","Скоріше так","Кав`ярні","Ні","Ні","Ні","Жіноча","36-45 рік","","10-20 тис.грн."
"2019/10/30 9:32:35 PM GMT+2","Так","Як перекус","Жодний з перелічених","Не знаю","Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Ні","Жіноча","14-21 рік","Киев ","<4 тис.грн."
"2019/10/30 9:33:27 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Bakalland BA!;EatMe;Fitto","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:33:57 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;Bakalland BA!","Так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Так","Жіноча","14-21 рік","","<4 тис.грн."
"2019/10/30 9:34:12 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Cini Minis;EatMe","Так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Чоловіча","14-21 рік","Житомир ","10-20 тис.грн."
"2019/10/30 9:35:05 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Cini Minis;Lantmännen АХА;EatMe;Батончики Гранола","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","22-35 рік","Київ","7-10 тис.грн."
"2019/10/30 9:35:54 PM GMT+2","Ні","","","","","","","","Жіноча","55+","Житомир","4-6 тис.грн."
"2019/10/30 9:35:54 PM GMT+2","Ні","","","","","","","","Жіноча","55+","Житомир","4-6 тис.грн."
"2019/10/30 9:36:22 PM GMT+2","Так","Як перекус;Як джерело корисних елементів","Cini Minis;Bakalland BA!;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Спеціалізовані магазини (Еко-лавка)","Так","Так","Ні","Чоловіча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 9:37:00 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Cini Minis;Bakalland BA!","Так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Так","Жіноча","14-21 рік","Киев","4-6 тис.грн."
"2019/10/30 9:37:17 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness","Так","Мінімаркет (Фора, АТБ)","Ні","Так","Так","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:37:43 PM GMT+2","Так","Як перекус","Fitness;Батончики Гранола","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Так","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:37:44 PM GMT+2","Ні","","","","","","","","Жіноча","22-35 рік","Киев","10-20 тис.грн."
"2019/10/30 9:38:11 PM GMT+2","Так","Як перекус","Жодний з перелічених","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Чоловіча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 9:38:29 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:39:44 PM GMT+2","Так","Як перекус","EatMe","Так","Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","14-21 рік","київ","<4 тис.грн."
"2019/10/30 9:41:02 PM GMT+2","Так","Як перекус","Fitness;Tekmar","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Жіноча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 9:41:53 PM GMT+2","Так","Як перекус;Як джерело корисних елементів","Fitness;Lantmännen АХА;Bakalland BA!;EatMe","Скоріше ні","Мінімаркет (Фора, АТБ)","Так","Так","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:42:36 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Cini Minis;Bakalland BA!;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Так","Жіноча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 9:42:42 PM GMT+2","Ні","","","","","","","","Жіноча","22-35 рік","","<4 тис.грн."
"2019/10/30 9:43:20 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Так","Мінімаркет (Фора, АТБ)","Так","Так","Ні","Чоловіча","22-35 рік","Kiev","10-20 тис.грн."
"2019/10/30 9:43:33 PM GMT+2","Так","Як перекус","Fitness;Bakalland BA!;EatMe;Батончики Гранола","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Чоловіча","22-35 рік","Тернопіль","7-10 тис.грн."
"2019/10/30 9:44:18 PM GMT+2","Так","Як перекус","Fitness","Ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Чоловіча","14-21 рік","Киев","10-20 тис.грн."
"2019/10/30 9:45:14 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Tekmar","Ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Ні","Ні","Жіноча","14-21 рік","Киев",""
"2019/10/30 9:45:24 PM GMT+2","Так","Як перекус","Жодний з перелічених","Не знаю","Гіпермаркет (Ашан, Метро, Фоззі)","Так","Так","Так","Жіноча","22-35 рік","Киев ",">30 тис.грн."
"2019/10/30 9:45:56 PM GMT+2","Так","Як перекус","Granola Energy;Bakalland BA!;EatMe","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Ні","Жіноча","14-21 рік","Киев","<4 тис.грн."
"2019/10/30 9:45:56 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Tekmar;Bakalland BA!;EatMe","Ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/30 9:46:16 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:46:25 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Жіноча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/30 9:47:47 PM GMT+2","Так","Як перекус","Жодний з перелічених","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Так","Жіноча","46-55 рік","","20-30 тис.грн"
"2019/10/30 9:48:22 PM GMT+2","Ні","","","","","","","","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:48:47 PM GMT+2","Так","Як перекус","Fitness;Lantmännen АХА;Tekmar","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","","Чоловіча","14-21 рік","Киев ","20-30 тис.грн"
"2019/10/30 9:49:39 PM GMT+2","Так","Як джерело корисних елементів","Fitness;Lantmännen АХА;Tekmar;EatMe","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі)","Так","Так","Ні","Чоловіча","22-35 рік","Київ ","10-20 тис.грн."
"2019/10/30 9:49:54 PM GMT+2","Так","Як перекус","Tekmar","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі)","Так","Так","Так","Жіноча","22-35 рік","Киев","7-10 тис.грн."
"2019/10/30 9:49:54 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Lantmännen АХА;Tekmar;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Жіноча","22-35 рік","Київ","<4 тис.грн."
"2019/10/30 9:50:45 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Bakalland BA!;EatMe;Батончики Гранола","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Спеціалізовані магазини (Еко-лавка)","Так","Так","Так","Жіноча","14-21 рік","Kyiv","<4 тис.грн."
"2019/10/30 9:50:48 PM GMT+2","Ні","","","","","","","","Чоловіча","22-35 рік","Киев",">30 тис.грн."
"2019/10/30 9:51:57 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Tekmar;EatMe","Ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Ні","Чоловіча","14-21 рік","Киев","4-6 тис.грн."
"2019/10/30 9:52:17 PM GMT+2","Так","Як перекус","Fitness;Tekmar;Bakalland BA!","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Жіноча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/30 9:52:33 PM GMT+2","Так","Як перекус","Fitness;Lantmännen АХА;Bakalland BA!","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Так","","Ні","Жіноча","14-21 рік","Киев ","10-20 тис.грн."
"2019/10/30 9:53:11 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;EatMe","Так","Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 9:56:10 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Bakalland BA!;Батончики Гранола","Так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Жіноча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 9:56:12 PM GMT+2","Так","Як солодощі/альтернатива солодощам","EatMe","Ні","Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Жіноча","14-21 рік","","<4 тис.грн."
"2019/10/30 9:56:56 PM GMT+2","Так","Як перекус","Lantmännen АХА;Tekmar;Bakalland BA!;EatMe","Не знаю","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Ні","Жіноча","22-35 рік","Київ","20-30 тис.грн"
"2019/10/30 9:58:22 PM GMT+2","Так","Як перекус","Bakalland BA!;EatMe","Ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Так","Чоловіча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 9:59:33 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Эммен","20-30 тис.грн"
"2019/10/30 9:59:35 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Київ","7-10 тис.грн."
